month,name,market,revenue
2015-01-01,Jennifer Lynn,sf-bay-area,-12.821975396321342
2015-01-01,Scott Chase,sf-bay-area,234.6469980817179
2015-01-01,Rebecca Clay,sf-bay-area,283.835941836566
2015-01-01,Joshua Knight,other,-36.81333597882962
2015-02-01,Steven Deleon,sf-bay-area,-19.47790135714209
2015-02-01,Ethan King,sf-bay-area,1756.8970911588574
2015-02-01,Lori Robinson,sf-bay-area,1008.3902891611083
2015-02-01,Denise Weeks,sf-bay-area,230.35470411177096
2015-02-01,Belinda Todd,sf-bay-area,724.5326884351213
2015-02-01,Manuel Sanders,sf-bay-area,271.58754878978743
2015-02-01,Alex Robbins,sf-bay-area,47.71720844248533
2015-02-01,Antonio Salas,sf-bay-area,278.47592575144535
2015-02-01,Matthew Lopez,sf-bay-area,1031.3306923933471
2015-02-01,Erica Brown,other,15.43404234786982
2015-02-01,Becky Martinez DDS,sf-bay-area,297.8929402939484
2015-02-01,Shawn Price,sf-bay-area,-23.234191350515875
2015-02-01,Scott Jacobs,sf-bay-area,220.0914533320436
2015-03-01,Thomas Cummings,sf-bay-area,532.6454759180258
2015-03-01,Gabriel Vaughn,sf-bay-area,782.5952430897448
2015-03-01,Scott Miller,sf-bay-area,272.65162667694347
2015-03-01,Mark Ramsey,sf-bay-area,479.91482046876365
2015-03-01,Melissa Vazquez,sf-bay-area,275.2197039603641
2015-03-01,Kimberly Swanson,sf-bay-area,229.5087467489355
2015-03-01,Mrs. Kathryn Mitchell,sf-bay-area,701.9567303113195
2015-03-01,Derrick Roberts,sf-bay-area,-26.242711198273984
2015-03-01,Timothy Gibson,other,-24.043826703581892
2015-03-01,Matthew Bennett,sf-bay-area,205.80720570422102
2015-03-01,Julie Smith,sf-bay-area,611.6448499590325
2015-03-01,Brittany Smith,sf-bay-area,227.76929041341117
2015-03-01,Jennifer Brown,sf-bay-area,15.944404628795567
2015-03-01,Stacy Davis,sf-bay-area,17.177809692952536
2015-04-01,Tiffany Marshall,sf-bay-area,121.74365100338183
2015-04-01,Kathy Thompson,sf-bay-area,782.4076990597589
2015-04-01,Emily Mckinney,sf-bay-area,749.6231987049506
2015-04-01,Terry Joseph,sf-bay-area,494.6194842858516
2015-04-01,Miss Leslie Lopez,sf-bay-area,630.791654213888
2015-04-01,Colleen Brock,sf-bay-area,4250.535227412479
2015-04-01,Michelle Medina,kansas city,3152.7472428845667
2015-04-01,Casey Morgan,sf-bay-area,-12.696532547721283
2015-04-01,Angela Medina,sf-bay-area,763.7818328464497
2015-04-01,Cody Henderson,sf-bay-area,4100.779857061266
2015-04-01,Stephen Mcdaniel,other,-13.807856618371297
2015-04-01,Matthew Allen,sf-bay-area,531.6835390840326
2015-04-01,Rachel Lee,sf-bay-area,-45.85922601160415
2015-04-01,Joshua Williams,sf-bay-area,145.45839120535402
2015-04-01,Sara Gamble,sf-bay-area,-25.886519865713666
2015-04-01,Cassandra Flores,sf-bay-area,155.93484915430153
2015-04-01,Glenda Reynolds,sf-bay-area,-44.50598578855308
2015-04-01,Donna Knox,sf-bay-area,-31.968387784952434
2015-04-01,Ronald Hart,sf-bay-area,1549.9514787381393
2015-04-01,Kathleen Ayala,sf-bay-area,1070.9555782682753
2015-04-01,Garrett Mccall,sf-bay-area,537.0830835897849
2015-04-01,Francis Turner,sf-bay-area,798.1531994235011
